puran poli
sweet puran poli
maharashtrian puran poli
modak
ukdiche modak
fried modak
bhakri jowar
bhakri bajra
bhakri ragi
misal pav
kolhapuri misal pav
mumbai misal pav
vada pav
butter vada pav
cheese vada pav
zunka bhakri
spicy zunka bhakri
poha
kanda poha
indori poha
sabudana khichdi
farali sabudana khichdi
chapati
roti
phulka
naan
butter naan
garlic naan
paratha
aloo paratha
paneer paratha
rajma chawal
rajma rice
chole bhature
chole kulche
butter chicken
butter chicken masala
dal makhani
creamy dal makhani
paneer butter masala
kadhi chawal
punjabi kadhi chawal
jeera rice
butter jeera rice
idli sambar
masala dosa
butter masala dosa
cheese masala dosa
plain dosa
crispy dosa
uttapa
onion uttapa
rasam rice
pepper rasam rice
curd rice
tempered curd rice
lemon rice
south indian lemon rice
pongal
ven pongal
vada sambar
medu vada sambar
coconut chutney
white coconut chutney
dhokla
khaman dhokla
thepla
methi thepla
fafda
fafda jalebi
khandvi
soft khandvi
undhiyu
gujarati undhiyu
rosogolla
soft rosogolla
mishti doi
sweet mishti doi
sandesh
bengali sandesh
egg roll
kolkata egg roll
luchi aloo
luchi aloo dum
litti chokha
traditional litti chokha
sattu
sattu drink
kachori
aloo kachori
bedmi puri
bedmi puri aloo
peda
mathura peda
dal bhati
rajasthani dal bhati
gatte ki sabzi
besan gatte ki sabzi
ker sangri
rajasthani ker sangri
bajra roti
makki bajra roti
churma
dal bhati churma
pizza
veg pizza
cheese pizza
paneer pizza
chicken pizza
burger
veg burger
cheese burger
chicken burger
momos
veg momos
paneer momos
chicken momos
fried momos
shawarma
chicken shawarma
paneer shawarma
french fries
peri peri fries
cheese fries
sandwich
grilled sandwich
veg sandwich
pav bhaji
butter pav bhaji
cheese pav bhaji
bhel puri
mumbai bhel puri
sev puri
crispy sev puri
panipuri
golgappa
lassi
sweet lassi
mango lassi
sugarcane juice
lemon sugarcane juice
chaas
masala chaas
tea
cutting chai
masala chai
coffee
filter coffee
omelette
cheese omelette
masala omelette
bhurji
egg bhurji
spicy egg bhurji
chicken curry
spicy chicken curry
mutton curry
spicy mutton curry
fish fry
crispy fish fry
tandoori chicken
full tandoori chicken
biryani
veg biryani
chicken biryani
mutton biryani
hyderabadi biryani
dum biryani
egg biryani
paneer biryani
pulao
veg pulao
chicken pulao
peas pulao
kashmiri pulao
jeera pulao
pakoda
onion pakoda
aloo pakoda
chaat
aloo chaat
papdi chaat
coconut rice
tomato rice
dal
dal tadka
dal fry
pasta
alfredo pasta
cheese alfredo pasta
chicken alfredo pasta
veg alfredo pasta
arancini
baba ganoush
bagel
baguette
baklava
bbq ribs
bibimbap
boiled eggs
bolognese
bratwurst
brownies
bruschetta
bulgogi
burrito
caesar salad
cake
calzone
caprese salad
carbonara
casserole
cereal
cheesecake
chicken soup
chili con carne
chimichanga
chocolate pudding
chow mein
ciabatta
coleslaw
cookies
corn dogs
cornbread
crepes
croissant
cupcakes
curry
custard
donuts
dumplings
enchiladas
fajitas
falafel
fattoush
fettuccine
focaccia
french toast
fried chicken
fried rice
garlic bread
garlic noodles
gazpacho
gnocchi
grain bowl
granola
gratin
greek salad
green curry
grilled chicken
guacamole
gyoza
hash browns
hot and sour soup
hot dog
hummus
ice cream
japchae
katsu
katsu curry
kebab
kimchi
kimchi fried rice
kofta
korean ramen
kung pao chicken
lasagna
lemon pie
lentil soup
lo mein
mac and cheese
macaroni salad
manakish
manchurian
mapo tofu
massaman curry
meatloaf
mexican rice
minestrone
miso soup
muffins
nachos
nicoise salad
noodle bowl
noodle soup
noodles
oatmeal
okonomiyaki
onigiri
onion rings
osso buco
pad thai
paella
pancakes
panna cotta
pasta salad
penne pasta
pesto pasta
pilaf
pita
polenta
popcorn
porridge
potato salad
potato wedges
pretzel
quesadilla
quiche
ramen
ratatouille
ravioli
red curry
refried beans
rice bowl
risotto
roast
salad
salsa
sausage
schezwan noodles
schezwan rice
schnitzel
scrambled eggs
sloppy joe
soba
souffle
vegetable soup
spaghetti
spanish omelette
spring rolls
steak
stew
sushi
sweet and sour chicken
tabbouleh
tacos
tamales
tapas
taquitos
tempura
chicken tenders
teriyaki
thai basil chicken
thai curry
thai fried rice
tiramisu
toast
tom kha
tom yum
tomato soup
tortellini
tteokbokki
udon
waffles
chicken wings
wontons
wrap
yakitori
ziti
